"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - VIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009,31/12/2008,30/09/2008,30/06/2008,31/03/2008
Créditos com Partes Relacionadas,1.271,5.041,4.516,5.582,6.083,5.970,5.940,5.179,4.934,5.885,5.814,11.802,11.937,12.560,10.357,10.884,1.166,1.152,1.088,3.656,2.177,3.368,983,897,294,299,562,413,243,280,258,54.136,53.931,50.314,66.828,70.866,70.385,81.258,78.602,88.705,67.870,51.711
Outros Ativos Não Circulantes,4.988,14.196,15.971,16.013,24.627,25.580,28.843,30.631,33.655,38.766,44.965,58.496,72.225,73.066,72.855,71.596,71.209,68.563,103.079,104.491,92.507,93.560,104.456,97.085,99.558,77.505,83.653,89.605,86.436,77.970,77.935,2.897,3.585,4.750,5.362,6.839,6.601,7.999,8.614,79.066,71.642,58.481
Investimentos,8.160,8.557,8.557,8.597,8.607,30.091,30.091,32.539,37.664,42.219,45.773,45.987,45.935,76.412,75.368,79.604,73.619,76.901,79.003,91.708,94.586,98.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.140,36.991,36.991
Imobilizado,5.149,5.531,5.922,6.325,6.736,7.139,7.601,8.282,8.723,11.300,11.739,12.323,14.485,14.954,15.442,16.073,16.965,17.926,21.421,25.027,28.356,29.756,32.874,42.197,45.910,47.215,48.360,46.452,46.753,46.112,45.015,47.015,46.776,47.423,48.219,50.973,53.547,55.012,60.313,41.446,39.221,35.360
Intangível,5.835,6.393,6.950,7.508,8.066,8.624,9.184,9.743,10.302,10.861,11.420,11.979,12.539,12.908,13.451,13.994,14.527,15.070,15.597,23.293,23.839,24.384,24.931,39.557,39.438,38.426,38.451,29.944,27.914,24.590,23.007,20.825,17.431,16.168,15.628,15.631,14.984,14.974,14.697,0,0,0
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,771.134,806.747,821.007,827.352,918.008,957.109,984.399,1.085.060,1.177.847,1.239.612,1.307.012,1.436.134,1.469.175,1.515.374,1.531.576,1.613.929,1.665.443,1.914.868,1.976.902,2.210.394,2.361.282,2.380.682,2.575.218,2.857.335,3.091.743,3.132.181,3.118.797,3.164.885,3.096.221,2.929.818,2.524.188,2.384.403,2.301.686,2.244.267,1.938.761,1.844.207,1.795.618,1.817.525,1.667.026,1.714.766,1.655.467,1.574.188
Passivo Circulante,707.964,739.386,730.071,1.226.903,1.317.249,1.257.023,1.265.595,1.261.918,1.251.726,1.250.600,1.196.524,1.229.041,1.063.176,1.024.289,975.613,1.003.226,997.931,1.002.852,931.796,1.307.426,1.365.023,1.273.703,1.461.567,1.294.056,1.388.409,827.897,1.133.674,834.111,840.940,764.376,653.870,558.494,491.823,461.998,440.711,517.231,454.298,442.864,405.441,314.211,363.718,306.457
Obrigações Sociais e Trabalhistas,1.423,1.570,1.662,1.670,2.316,1.856,1.800,1.717,1.823,2.084,2.584,3.800,4.058,3.923,5.076,7.746,8.428,7.592,7.298,7.346,7.404,7.234,8.172,11.764,12.324,9.046,8.635,9.818,12.611,17.481,15.993,0,0,0,0,0,0,0,0,0,0,0
Fornecedores,12.463,11.254,10.502,21.265,21.210,19.984,20.379,20.182,26.085,24.173,24.575,23.493,28.612,28.671,33.862,29.935,27.548,30.055,29.903,30.882,34.038,34.137,32.294,42.991,40.526,40.551,39.940,32.293,33.053,34.844,38.597,39.813,35.496,32.171,26.398,25.860,20.586,22.795,28.190,26.978,33.140,20.291
Obrigações Fiscais,25.139,24.644,24.989,27.645,56.306,56.260,52.634,53.500,55.589,55.341,42.854,49.753,48.434,51.408,53.212,77.090,76.697,76.434,85.593,98.879,93.471,88.919,107.700,102.901,78.640,71.214,103.146,104.399,100.506,87.548,82.588,82.008,74.357,63.501,63.903,61.569,64.456,60.157,58.171,51.196,43.836,38.031
Empréstimos e Financiamentos,572.967,592.058,589.520,981.948,1.041.898,988.297,1.004.125,994.560,960.101,955.757,906.798,900.150,732.076,695.597,645.917,737.787,726.223,654.442,571.412,859.406,920.962,911.444,973.710,831.204,943.874,490.039,755.848,546.160,581.326,511.356,389.263,319.389,258.829,200.160,169.336,249.969,174.556,141.412,87.167,59.699,66.805,24.304
Passivos com Partes Relacionadas,15.511,14.398,10.333,107.664,104.716,103.075,100.812,102.577,98.061,92.521,88.252,83.744,80.022,85.778,77.026,0,0,0,7.842,59.745,59.310,51.272,30.120,5.216,5.443,0,0,0,484,1.873,3.500,773,773,782,774,774,1.557,4.325,1,1,1,1
Dividendos e JCP a Pagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros,77.669,92.660,90.214,83.843,87.782,84.337,82.941,86.501,105.769,116.280,126.751,163.371,164.685,153.914,155.689,145.444,152.406,227.789,224.200,244.869,243.896,174.372,231.649,292.554,301.878,217.047,226.105,141.441,112.960,111.274,123.929,116.511,122.368,165.384,180.300,179.059,193.143,214.175,231.912,176.337,219.936,223.830
Provisões,2.792,2.802,2.851,2.868,3.021,3.214,2.904,2.881,4.298,4.444,4.710,4.730,5.289,4.998,4.831,5.224,6.629,6.540,5.548,6.299,5.942,6.325,0,7.426,5.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,168.062,151.983,156.900,206.187,224.318,238.016,228.298,251.874,274.212,263.065,295.200,294.149,435.907,453.343,474.450,464.767,492.824,632.099,730.094,464.878,487.721,549.699,524.332,810.592,764.990,1.320.211,979.220,1.204.114,1.115.922,1.036.386,749.487,724.910,737.538,724.320,704.104,535.508,583.678,611.539,643.248,691.315,560.700,537.261
Empréstimos e Financiamentos,0,0,0,20.156,22.734,37.756,37.756,69.234,95.631,92.360,124.134,130.982,274.377,286.713,315.501,250.094,284.118,364.593,444.292,217.196,239.394,241.277,279.810,561.712,445.065,902.195,599.636,903.687,885.802,828.365,544.054,521.053,522.183,406.851,392.530,210.383,224.781,242.818,281.013,255.896,138.223,77.843
Passivos com Partes Relacionadas,2.053,2.520,5.059,1.867,1.467,1.867,0,0,0,0,0,0,0,0,0,69.505,63.513,55.563,53.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros,18.749,19.070,19.447,15.184,16.077,16.478,15.891,16.732,17.410,24.333,26.095,27.095,34.078,38.567,38.702,42.553,47.032,113.026,130.548,146.577,140.013,198.083,143.829,152.889,220.862,319.273,312.308,233.177,172.463,146.810,143.846,186.105,197.347,298.129,290.568,303.530,337.611,347.958,343.925,417.940,404.368,444.352
Tributos Diferidos,6.865,6.914,7.174,7.489,8.278,8.934,9.316,9.664,13.203,13.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.127,9.757,7.106,5.661,0,0,0,0,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões,140.395,123.479,125.220,161.491,175.762,172.981,165.335,156.244,147.968,132.843,144.971,136.072,127.452,128.063,120.247,102.615,98.161,98.917,101.921,101.105,108.314,110.339,100.693,95.991,99.063,98.743,67.276,62.123,47.900,54.105,55.926,17.752,18.008,19.340,21.006,21.595,21.286,20.763,18.310,17.479,18.109,15.066
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participação dos Acionistas Não Controladores,0,0,0,0,0,0,0,0,0,0,0,6.249,6.536,6.616,6.602,6.383,6.526,6.796,6.749,7.704,5.136,7.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrimônio Líquido,-104.892,-84.622,-65.964,-605.738,-623.559,-537.930,-509.494,-428.732,-348.091,-274.053,-184.712,-93.305,-36.444,31.126,74.911,139.553,168.162,273.121,308.263,430.386,503.402,549.546,589.319,752.687,938.344,984.073,1.005.903,1.126.660,1.139.359,1.129.056,1.120.831,1.100.999,1.072.325,1.057.949,793.946,791.468,757.642,763.122,618.337,709.240,731.049,730.470
Capital Social Realizado,1.853.014,1.281.771,1.281.771,1.281.689,1.281.689,1.281.689,1.281.678,1.260.215,1.259.550,1.259.550,1.259.290,1.259.017,1.258.060,1.258.060,1.258.060,1.258.060,1.258.060,1.258.060,1.258.060,1.258.060,1.258.060,1.258.060,1.257.719,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,1.208.063,948.551,948.551,948.551,948.551,785.915,785.915,785.915,785.915
Reservas de Capital,0,564.069,564.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros/Prejuízos Acumulados,-1.957.906,-1.930.462,-1.911.804,-1.887.427,-1.905.248,-1.819.619,-1.791.172,-1.688.947,-1.607.641,-1.533.603,-1.444.002,-1.352.322,-1.294.504,-1.226.934,-1.183.149,-1.118.507,-1.089.898,-984.939,-949.797,-827.674,-754.658,-708.514,-665.556,-452.532,-266.875,-223.990,-202.160,-81.403,-68.704,-79.007,-87.232,-107.064,-135.738,-150.114,-154.605,-157.083,-190.909,-185.429,-167.578,-76.675,-54.866,-55.445
Ajustes de Avaliação Patrimonial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.844,-2.844,-2.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajustes Acumulados de Conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Resultados Abrangentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
